wals code,name,value,description,latitude,longitude,genus,family,area
kiw, Kiwai (Southern),2,Moderately low,-8,143.5,Kiwaian,Kiwaian,Phonology
xoo,!Xóõ,5,High,-24,21.5,Tu,Tu,Phonology
ani,//Ani,5,High,-18.91666667,21.91666667,Khoe-Kwadi,Khoe-Kwadi,Phonology
abi,Abipón,3,Average,-29,-61,South Guaicuruan,Guaicuruan,Phonology
abk,Abkhaz,5,High,43.08333333,41,Northwest Caucasian,Northwest Caucasian,Phonology
acm,Achumawi,3,Average,41.5,-121,Palaihnihan,Hokan,Phonology
ach,Aché,2,Moderately low,-25.25,-55.16666667,Tupi-Guaraní,Tupian,Phonology
aco,Acoma,5,High,34.91666667,-107.5833333,Keresan,Keresan,Phonology
adz,Adzera,4,Moderately high,-6.25,146.25,Oceanic,Austronesian,Phonology
agh,Aghem,2,Moderately low,6.666666667,10,Bantoid,Niger-Congo,Phonology
aht,Ahtna,4,Moderately high,62,-145,Athapaskan,Na-Dene,Phonology
aik,Aikaná,3,Average,-12.66666667,-60.66666667,Aikaná,Aikaná,Phonology
ain,Ainu,2,Moderately low,43,143,Ainu,Ainu,Phonology
aiz,Aizi,2,Moderately low,5.25,-4.5,Kru,Niger-Congo,Phonology
akn,Akan,2,Moderately low,6.5,-1.25,Kwa,Niger-Congo,Phonology
akw,Akawaio,1,Low,6,-59.5,Cariban,Cariban,Phonology
abm,Alabama,4,Moderately high,32.33333333,-87.41666667,Muskogean,Muskogean,Phonology
ala,Alamblak,2,Moderately low,-4.666666667,143.3333333,Sepik Hill,Sepik,Phonology
alw,Alawa,4,Moderately high,-15.16666667,134.25,Alawa,Mangarrayi-Maran,Phonology
alb,Albanian,3,Average,41,20,Albanian,Indo-European,Phonology
aea,Aleut (Eastern),5,High,54.75,-164,Aleut,Eskimo-Aleut,Phonology
ald,Alladian,3,Average,5.166666667,-4.333333333,Kwa,Niger-Congo,Phonology
amc,Amahuaca,3,Average,-10.5,-72.5,Panoan,Panoan,Phonology
ame,Amele,3,Average,-5.25,145.5833333,Madang,Trans-New Guinea,Phonology
amh,Amharic,4,Moderately high,10,38,Semitic,Afro-Asiatic,Phonology
amo,Amo,2,Moderately low,10.33333333,8.666666667,Kainji,Niger-Congo,Phonology
amu,Amuesha,5,High,-10.5,-75.41666667,Yanesha',Arawakan,Phonology
amz,Amuzgo,3,Average,16.83333333,-98,Amuzgoan,Oto-Manguean,Phonology
adk,Andoke,1,Low,-0.666666667,-72,Andoke,Andoke,Phonology
ant,Angaataha,1,Low,-7.216666667,146.25,Angan,Trans-New Guinea,Phonology
anc,Angas,4,Moderately high,9.5,9.5,West Chadic,Afro-Asiatic,Phonology
ao,Ao,2,Moderately low,26.58333333,94.66666667,Kuki-Chin,Sino-Tibetan,Phonology
api,Apinayé,1,Low,-5.5,-48,Ge-Kaingang,Macro-Ge,Phonology
apu,Apurinã,3,Average,-9,-67,Purus,Arawakan,Phonology
arb,Arabela,2,Moderately low,-2,-75.16666667,Zaparoan,Zaparoan,Phonology
aeg,Arabic (Egyptian),4,Moderately high,30,31,Semitic,Afro-Asiatic,Phonology
ana,Araona,4,Moderately high,-12.33333333,-67.75,Tacanan,Tacanan,Phonology
arp,Arapesh (Mountain),2,Moderately low,-3.466666667,143.1666667,Kombio-Arapesh,Torricelli,Phonology
arc,Archi,5,High,42,46.83333333,Lezgic,Nakh-Daghestanian,Phonology
arm,Armenian (Eastern),4,Moderately high,40,45,Armenian,Indo-European,Phonology
amp,Arrernte (Mparntwe),5,High,-24,136,Central Pama-Nyungan,Pama-Nyungan,Phonology
asm,Asmat,1,Low,-5.5,138.5,Asmat-Kamoro,Trans-New Guinea,Phonology
ata,Atayal,3,Average,24.5,121.3333333,Atayalic,Austronesian,Phonology
ava,Avar,5,High,42.5,46.5,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
awp,Awa Pit,3,Average,1.5,-78.25,Barbacoan,Barbacoan,Phonology
awn,Awngi,3,Average,10.83333333,36.66666667,Central Cushitic,Afro-Asiatic,Phonology
aym,Aymara (Central),5,High,-17,-69,Aymaran,Aymaran,Phonology
aze,Azerbaijani,2,Moderately low,40.5,48.5,Turkic,Altaic,Phonology
bag,Bagirmi,3,Average,11.66666667,16,Bongo-Bagirmi,Central Sudanic,Phonology
bai,Bai,1,Low,26,100,Bai,Sino-Tibetan,Phonology
baj,Bajau (Sama),3,Average,-4.333333333,123,Sama-Bajaw,Austronesian,Phonology
bki,Bakairí,2,Moderately low,-14,-55,Cariban,Cariban,Phonology
bam,Bambara,3,Average,12.5,-7.5,Western Mande,Mande,Phonology
byu,Bandjalang (Yugumbir),3,Average,-27.91666667,153,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
brd,Bardi,3,Average,-16.58333333,122.9166667,Nyulnyulan,Nyulnyulan,Phonology
brb,Bariba,2,Moderately low,10,2.5,Southern-Central Gur,Niger-Congo,Phonology
bsk,Bashkir,3,Average,53,58,Turkic,Altaic,Phonology
bsq,Basque,4,Moderately high,43,-3,Basque,Basque,Phonology
bkr,Batak (Karo),2,Moderately low,3.25,98.25,Northwest Sumatra-Barrier Islands,Austronesian,Phonology
bto,Batak (Toba),3,Average,2.5,99,Northwest Sumatra-Barrier Islands,Austronesian,Phonology
baw,Bawm,4,Moderately high,22.5,92.25,Kuki-Chin,Sino-Tibetan,Phonology
bee,Beembe,3,Average,-3.916666667,14.08333333,Bantoid,Niger-Congo,Phonology
bej,Beja,3,Average,18,36,Beja,Afro-Asiatic,Phonology
bco,Bella Coola,5,High,52.5,-126.6666667,Bella Coola,Salishan,Phonology
ben,Bengali,3,Average,24,90,Indic,Indo-European,Phonology
bma,Berber (Middle Atlas),5,High,33,-5,Berber,Afro-Asiatic,Phonology
ber,Berta,4,Moderately high,10.33333333,34.66666667,Berta,Berta,Phonology
bir,Birom,3,Average,9.666666667,8.833333333,Platoid,Niger-Congo,Phonology
bis,Bisa,3,Average,11.5,-0.5,Eastern Mande,Mande,Phonology
bbf,Bobo Madaré (Northern),3,Average,12.41666667,-4.333333333,Western Mande,Mande,Phonology
bod,Bodo,2,Moderately low,26.83333333,92,Bodo-Garo,Sino-Tibetan,Phonology
brr,Bororo,1,Low,-16,-57,Bororoan,Bororoan,Phonology
brh,Brahui,4,Moderately high,28.5,67,Northern Dravidian,Dravidian,Phonology
bra,Brao,3,Average,14.16666667,107.5,Bahnaric,Austro-Asiatic,Phonology
bre,Breton,3,Average,48,-3,Celtic,Indo-European,Phonology
bri,Bribri,3,Average,9.416666667,-83,Talamanca,Chibchan,Phonology
brw,Bru (Western),1,Low,16.75,104.75,Katuic,Austro-Asiatic,Phonology
bul,Bulgarian,3,Average,42.5,25,Slavic,Indo-European,Phonology
bua,Burarra,3,Average,-12.25,134.5833333,Burarran,Mangrida,Phonology
brm,Burmese,3,Average,21,96,Burmese-Lolo,Sino-Tibetan,Phonology
bur,Burushaski,5,High,36.5,74.5,Burushaski,Burushaski,Phonology
bet,Bété,1,Low,6.25,-6.25,Kru,Niger-Congo,Phonology
cac,Cacua,2,Moderately low,1.083333333,-70,Cacua-Nukak,Cacua-Nukak,Phonology
cad,Caddo,5,High,33.33333333,-93.5,Caddoan,Caddoan,Phonology
cah,Cahuilla,4,Moderately high,33.5,-116.25,California Uto-Aztecan,Uto-Aztecan,Phonology
cax,Campa (Axininca),4,Moderately high,-12,-74,Pre-Andine Arawakan,Arawakan,Phonology
cam,Camsá,3,Average,1.166666667,-77,Camsá,Camsá,Phonology
cnl,Canela,1,Low,-7,-45,Ge-Kaingang,Macro-Ge,Phonology
cnt,Cantonese,2,Moderately low,23,113,Chinese,Sino-Tibetan,Phonology
car,Carib,2,Moderately low,5.5,-56,Cariban,Cariban,Phonology
ctl,Catalan,3,Average,41.75,2,Romance,Indo-European,Phonology
cay,Cayapa,4,Moderately high,0.666666667,-79,Barbacoan,Barbacoan,Phonology
cyv,Cayuvava,2,Moderately low,-13.5,-65.5,Cayuvava,Cayuvava,Phonology
chw,Cham (Western),2,Moderately low,12,105.5,Malayo-Sumbawan,Austronesian,Phonology
cha,Chamorro,3,Average,13.45,144.75,Chamorro,Austronesian,Phonology
cso,Chatino (Sierra Occidental),3,Average,16.25,-97.33333333,Zapotecan,Oto-Manguean,Phonology
chl,Chehalis (Upper),5,High,46.58333333,-123,Tsamosan,Salishan,Phonology
che,Cherokee,1,Low,35.5,-83.5,Southern Iroquoian,Iroquoian,Phonology
cck,Chickasaw,4,Moderately high,34,-88,Muskogean,Muskogean,Phonology
cti,Chin (Tiddim),3,Average,23.33333333,93.66666667,Kuki-Chin,Sino-Tibetan,Phonology
cle,Chinantec (Lealao),3,Average,17.33333333,-95.91666667,Chinantecan,Oto-Manguean,Phonology
chq,Chinantec (Quiotepec),3,Average,17.58333333,-96.66666667,Chinantecan,Oto-Manguean,Phonology
chp,Chipewyan,5,High,59,-106,Athapaskan,Na-Dene,Phonology
cve,Chuave,2,Moderately low,-6.116666667,145.1166667,Chimbu,Trans-New Guinea,Phonology
chk,Chukchi,2,Moderately low,67,-173,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Phonology
chv,Chuvash,2,Moderately low,55.5,47.5,Turkic,Altaic,Phonology
cil,CiLuba,3,Average,-6,22,Bantoid,Niger-Congo,Phonology
ccp,Cocopa,4,Moderately high,32.33333333,-115,Yuman,Hokan,Phonology
cof,Cofán,4,Moderately high,0.166666667,-77.16666667,Cofán,Cofán,Phonology
cmn,Comanche,1,Low,33.5,-101.5,Numic,Uto-Aztecan,Phonology
coo,Coos (Hanis),5,High,43.5,-124.1666667,Coosan,Oregon Coast,Phonology
cre,Cree (Plains),2,Moderately low,54,-110,Algonquian,Algic,Phonology
cub,Cubeo,1,Low,1.333333333,-70.5,Tucanoan,Tucanoan,Phonology
dad,Dadibi,2,Moderately low,-6.55,144.5833333,Teberan,Teberan-Pawaian,Phonology
dag,Daga,2,Moderately low,-10,149.3333333,Dagan,Dagan,Phonology
dgb,Dagbani,4,Moderately high,9.583333333,-0.5,Northern-Central Gur,Niger-Congo,Phonology
dgr,Dagur,3,Average,48,124,Mongolic,Altaic,Phonology
dah,Dahalo,5,High,-2.333333333,40.5,Dahalo,Afro-Asiatic,Phonology
ddf,Daju (Dar Fur),3,Average,12.25,25.25,Daju,Eastern Sudanic,Phonology
dan,Dan,1,Low,7.5,-8,Eastern Mande,Mande,Phonology
dnw,Dangaléat (Western),3,Average,12.16666667,18.33333333,East Chadic,Afro-Asiatic,Phonology
dni,Dani (Lower Grand Valley),1,Low,-4.333333333,138.8333333,Dani,Trans-New Guinea,Phonology
dar,Darai,4,Moderately high,24,84,Indic,Indo-European,Phonology
det,Deti,5,High,-20.5,24.5,Khoe-Kwadi,Khoe-Kwadi,Phonology
die,Diegueño (Mesa Grande),4,Moderately high,32.66666667,-116.1666667,Yuman,Hokan,Phonology
din,Dinka,3,Average,8.5,28,Nilotic,Eastern Sudanic,Phonology
dio,Diola-Fogny,1,Low,13,-16.25,Bak,Niger-Congo,Phonology
diy,Diyari,5,High,-28,139,Central Pama-Nyungan,Pama-Nyungan,Phonology
diz,Dizi,3,Average,6.166666667,36.5,Dizoid,Afro-Asiatic,Phonology
djp,Djapu,5,High,-12.66666667,136,Western Pama-Nyungan,Pama-Nyungan,Phonology
der,Dla (Proper),2,Moderately low,-3.583333333,141,Senagi,Senagi,Phonology
don,Dong (Southern),3,Average,27,109,Kam-Tai,Tai-Kadai,Phonology
doy,Doyayo,3,Average,8.666666667,13.08333333,Samba-Duru,Niger-Congo,Phonology
dre,Drehu,3,Average,-21,167.25,Oceanic,Austronesian,Phonology
dum,Dumo,1,Low,-2.683333333,141.3,Western Skou,Skou,Phonology
dyi,Dyirbal,3,Average,-17.83333333,145.5833333,Northern Pama-Nyungan,Pama-Nyungan,Phonology
efi,Efik,1,Low,4.916666667,8.5,Cross River,Niger-Congo,Phonology
eja,Ejagham,3,Average,5.416666667,8.666666667,Bantoid,Niger-Congo,Phonology
eka,Ekari,1,Low,-3.833333333,135.5,Wissel Lakes-Kemandoga,Trans-New Guinea,Phonology
eng,English,1,Low,52,0,Germanic,Indo-European,Phonology
epe,Epena Pedee,2,Moderately low,3,-77,Choco,Choco,Phonology
evn,Even,3,Average,68,130,Tungusic,Altaic,Phonology
eve,Evenki,3,Average,56,125,Tungusic,Altaic,Phonology
ewe,Ewe,3,Average,6.333333333,0.416666667,Kwa,Niger-Congo,Phonology
ewo,Ewondo,3,Average,4,12,Bantoid,Niger-Congo,Phonology
eya,Eyak,5,High,60.5,-145,Eyak,Na-Dene,Phonology
fas,Fasu,2,Moderately low,-6.583333333,143.3333333,Fasu,Trans-New Guinea,Phonology
fef,Fe'fe',2,Moderately low,5.25,10.16666667,Bantoid,Niger-Congo,Phonology
fij,Fijian,3,Average,-17.83333333,178,Oceanic,Austronesian,Phonology
fin,Finnish,2,Moderately low,62,25,Finnic,Uralic,Phonology
fre,French,1,Low,48,2,Romance,Indo-European,Phonology
ful,Fulniô,3,Average,-8,-37.5,Yatê,Yatê,Phonology
fur,Fur,2,Moderately low,13.5,25,Fur,Fur,Phonology
fuz,Fuzhou,2,Moderately low,26,119.5,Chinese,Sino-Tibetan,Phonology
fye,Fyem,5,High,9.583333333,9.333333333,Platoid,Niger-Congo,Phonology
gds,Gadsup,3,Average,-6.25,146,Eastern Highlands,Trans-New Guinea,Phonology
gar,Garo,3,Average,25.66666667,90.5,Bodo-Garo,Sino-Tibetan,Phonology
grr,Garrwa,4,Moderately high,-17.08333333,137.1666667,Garrwan,Garrwan,Phonology
gbb,Gbeya Bossangoa,3,Average,6.666666667,17.5,Gbaya-Manza-Ngbaka,Niger-Congo,Phonology
gla,Gelao,3,Average,22.91666667,105.5,Kadai,Tai-Kadai,Phonology
geo,Georgian,4,Moderately high,42,44,Kartvelian,Kartvelian,Phonology
ger,German,1,Low,52,10,Germanic,Indo-European,Phonology
goa,Goajiro,3,Average,12,-72,Caribbean Arawakan,Arawakan,Phonology
goo,Gooniyandi,4,Moderately high,-18.33333333,126.3333333,Bunuban,Bunuban,Phonology
gan,Great Andamanese,3,Average,12,92.66666667,Great Andamanese,Great Andamanese,Phonology
grb,Grebo,2,Moderately low,5,-8,Kru,Niger-Congo,Phonology
grk,Greek (Modern),3,Average,39,22,Greek,Indo-European,Phonology
grw,Greenlandic (West),4,Moderately high,64,-51,Eskimo,Eskimo-Aleut,Phonology
ghb,Guahibo,3,Average,5,-69,Guahiban,Guahiban,Phonology
gmb,Guambiano,3,Average,2.5,-76.66666667,Barbacoan,Barbacoan,Phonology
gua,Guaraní,3,Average,-26,-56,Tupi-Guaraní,Tupian,Phonology
gwa,Gwari,3,Average,9.5,7,Nupoid,Niger-Congo,Phonology
ga,Gã,3,Average,5.666666667,-0.166666667,Kwa,Niger-Congo,Phonology
had,Hadza,5,High,-3.75,35.16666667,Hadza,Hadza,Phonology
hai,Haida,5,High,53,-132,Haida,Haida,Phonology
hak,Hakka,3,Average,25,116,Chinese,Sino-Tibetan,Phonology
hmr,Hamer,4,Moderately high,5,36.5,South Omotic,Afro-Asiatic,Phonology
ham,Hamtai,1,Low,-7.5,146.25,Angan,Trans-New Guinea,Phonology
hau,Hausa,4,Moderately high,12,7,West Chadic,Afro-Asiatic,Phonology
haw,Hawaiian,1,Low,19.58333333,-155.5,Oceanic,Austronesian,Phonology
hba,Hebrew (Modern Ashkenazic),3,Average,31.75,35.16666667,Semitic,Afro-Asiatic,Phonology
hin,Hindi,4,Moderately high,25,77,Indic,Indo-European,Phonology
hix,Hixkaryana,3,Average,-1,-59,Cariban,Cariban,Phonology
hmo,Hmong Njua,5,High,28,105,Hmong-Mien,Hmong-Mien,Phonology
hop,Hopi,3,Average,36,-110,Hopi,Uto-Aztecan,Phonology
htc,Huastec,3,Average,22.08333333,-99.33333333,Mayan,Mayan,Phonology
hve,Huave (San Mateo del Mar),3,Average,16.21666667,-95,Huavean,Huavean,Phonology
hum,Huitoto (Murui),2,Moderately low,-1,-73.5,Huitoto,Huitotoan,Phonology
hun,Hungarian,3,Average,47,20,Ugric,Uralic,Phonology
hzb,Hunzib,3,Average,42.16666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
hup,Hupa,5,High,41.08333333,-123.6666667,Athapaskan,Na-Dene,Phonology
iaa,Iaai,3,Average,-20.41666667,166.5833333,Oceanic,Austronesian,Phonology
iba,Iban,3,Average,2,112,Malayo-Sumbawan,Austronesian,Phonology
igb,Igbo,3,Average,6,7.333333333,Igboid,Niger-Congo,Phonology
ign,Ignaciano,4,Moderately high,-15.16666667,-65.41666667,Bolivia-Parana,Arawakan,Phonology
ijo,Ijo (Kolokuma),2,Moderately low,4.916666667,5.666666667,Ijoid,Ijoid,Phonology
ik,Ik,3,Average,3.75,34.16666667,Kuliak,Eastern Sudanic,Phonology
ika,Ika,2,Moderately low,10.66666667,-73.75,Arhuacic,Chibchan,Phonology
imo,Imonda,1,Low,-3.333333333,141.1666667,Border,Border,Phonology
ind,Indonesian,3,Average,0,106,Malayo-Sumbawan,Austronesian,Phonology
igs,Ingessana,3,Average,11.5,34,Eastern Jebel,Eastern Sudanic,Phonology
ing,Ingush,5,High,43.16666667,45.08333333,Nakh,Nakh-Daghestanian,Phonology
irx,Iranxe,3,Average,-13,-58,Iranxe,Iranxe,Phonology
irq,Iraqw,5,High,-4,35.5,Southern Cushitic,Afro-Asiatic,Phonology
irr,Irarutu,1,Low,-3,133.5,South Halmahera - West New Guinea,Austronesian,Phonology
ird,Irish (Donegal),4,Moderately high,55,-8,Celtic,Indo-European,Phonology
iso,Isoko,3,Average,5.5,6.25,Edoid,Niger-Congo,Phonology
ite,Itelmen,4,Moderately high,57,157.5,Southern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Phonology
ito,Itonama,3,Average,-12.83333333,-64.33333333,Itonama,Itonama,Phonology
iva,Ivatan,4,Moderately high,20.5,122,Batanic,Austronesian,Phonology
iwm,Iwam,1,Low,-4.333333333,142,Upper Sepik,Sepik,Phonology
jak,Jakaltek,4,Moderately high,15.66666667,-91.66666667,Mayan,Mayan,Phonology
jpn,Japanese,3,Average,37,140,Japanese,Japanese,Phonology
jpr,Japreria,1,Low,10.5,-73,Cariban,Cariban,Phonology
jaq,Jaqaru,5,High,-13,-76,Aymaran,Aymaran,Phonology
jav,Javanese,2,Moderately low,-7,111,Javanese,Austronesian,Phonology
jeb,Jebero,4,Moderately high,-5.416666667,-76.5,Cahuapanan,Cahuapanan,Phonology
jeh,Jeh,3,Average,15.16666667,107.8333333,Bahnaric,Austro-Asiatic,Phonology
jng,Jingpho,4,Moderately high,25.41666667,97,Jingpho,Sino-Tibetan,Phonology
jiv,Jivaro,3,Average,-2.5,-78,Jivaroan,Jivaroan,Phonology
jom,Jomang,1,Low,10.58333333,30.5,Talodi,Kordofanian,Phonology
juh,Ju|'hoan,5,High,-19,21,Ju-Kung,Kxa,Phonology
kek,K'ekchí,3,Average,16,-89.83333333,Mayan,Mayan,Phonology
kab,Kabardian,5,High,43.5,43.5,Northwest Caucasian,Northwest Caucasian,Phonology
kad,Kadugli,3,Average,11,29.66666667,Kadugli,Kadu,Phonology
kng,Kaingang,1,Low,-26,-52,Ge-Kaingang,Macro-Ge,Phonology
kly,Kala Lagaw Ya,3,Average,-10.11666667,142.1166667,Northern Pama-Nyungan,Pama-Nyungan,Phonology
kal,Kalami,4,Moderately high,35.5,72.5,Indic,Indo-European,Phonology
kgu,Kalkatungu,5,High,-21,139.5,Northern Pama-Nyungan,Pama-Nyungan,Phonology
knk,Kanakuru,3,Average,10,12,West Chadic,Afro-Asiatic,Phonology
knd,Kannada,2,Moderately low,14,76,Southern Dravidian,Dravidian,Phonology
knr,Kanuri,3,Average,12,13,Western Saharan,Saharan,Phonology
ksg,Karen (Sgaw),3,Average,18,97,Karen,Sino-Tibetan,Phonology
krk,Karok,3,Average,41.66666667,-123,Karok,Karok,Phonology
kas,Kashmiri,3,Average,34,76,Indic,Indo-European,Phonology
kws,Kawaiisu,3,Average,36,-117.5,Numic,Uto-Aztecan,Phonology
kyl,Kayah Li (Eastern),1,Low,19,97.5,Karen,Sino-Tibetan,Phonology
kay,Kayardild,4,Moderately high,-17.05,139.5,Tangkic,Tangkic,Phonology
ked,Kedang,2,Moderately low,-8.25,123.75,Central Malayo-Polynesian,Austronesian,Phonology
kef,Kefa,3,Average,7.25,36.25,South Omotic,Afro-Asiatic,Phonology
ker,Kera,3,Average,9.833333333,15.08333333,East Chadic,Afro-Asiatic,Phonology
ket,Ket,2,Moderately low,64,87,Yeniseian,Yeniseian,Phonology
kew,Kewa,3,Average,-6.5,143.8333333,Engan,Trans-New Guinea,Phonology
kha,Khalkha,2,Moderately low,47,105,Mongolic,Altaic,Phonology
kty,Khanty,3,Average,65,65,Ugric,Uralic,Phonology
khr,Kharia,4,Moderately high,22.5,84.33333333,Munda,Austro-Asiatic,Phonology
khs,Khasi,3,Average,25.5,92,Khasian,Austro-Asiatic,Phonology
khm,Khmer,2,Moderately low,12.5,105,Khmer,Austro-Asiatic,Phonology
kmu,Khmu',2,Moderately low,21,102,Khmuic,Austro-Asiatic,Phonology
klv,Kilivila,3,Average,-8.5,151.0833333,Oceanic,Austronesian,Phonology
kio,Kiowa,3,Average,37,-99,Kiowa-Tanoan,Kiowa-Tanoan,Phonology
kgz,Kirghiz,3,Average,42,75,Turkic,Altaic,Phonology
krb,Kiribati,1,Low,1.333333333,173,Oceanic,Austronesian,Phonology
kss,Kisi (Southern),2,Moderately low,8.5,-10.25,Mel,Niger-Congo,Phonology
klm,Klamath,5,High,42.5,-121.5,Klamath-Modoc,Penutian,Phonology
kla,Klao,1,Low,4.75,-8.75,Kru,Niger-Congo,Phonology
koa,Koasati,4,Moderately high,34.83333333,-85.16666667,Muskogean,Muskogean,Phonology
kob,Kobon,2,Moderately low,-5.166666667,144.3333333,Madang,Trans-New Guinea,Phonology
koh,Kohumono,3,Average,6,8.116666667,Cross River,Niger-Congo,Phonology
koi,Koiari,2,Moderately low,-9.5,147.3333333,Koiarian,Trans-New Guinea,Phonology
kzy,Komi-Zyrian,3,Average,65,55,Permic,Uralic,Phonology
kom,Komo,3,Average,8.75,33.75,Koman,Koman,Phonology
kkn,Konkani,2,Moderately low,15.25,74,Indic,Indo-European,Phonology
kor,Korean,2,Moderately low,37.5,128,Korean,Korean,Phonology
kfe,Koromfe,1,Low,14.25,-0.916666667,Northern-Central Gur,Niger-Congo,Phonology
kry,Koryak,3,Average,61,167,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Phonology
kot,Kota,4,Moderately high,11.5,77.16666667,Southern Dravidian,Dravidian,Phonology
ktk,Kotoko,3,Average,11.33333333,15.33333333,Biu-Mandara,Afro-Asiatic,Phonology
koy,Koya,3,Average,17.5,81.33333333,South-Central Dravidian,Dravidian,Phonology
kch,Koyra Chiini,3,Average,17,-3,Songhay,Songhay,Phonology
kse,Koyraboro Senni,3,Average,16,0,Songhay,Songhay,Phonology
kpa,Kpan,4,Moderately high,7.583333333,10.16666667,Platoid,Niger-Congo,Phonology
kpe,Kpelle,3,Average,7,-10,Western Mande,Mande,Phonology
kro,Krongo,2,Moderately low,10.5,30,Kadugli,Kadu,Phonology
kya,Kuku-Yalanji,3,Average,-16,145,Northern Pama-Nyungan,Pama-Nyungan,Phonology
kul,Kullo,4,Moderately high,6.75,37.08333333,North Omotic,Afro-Asiatic,Phonology
kun,Kuna,2,Moderately low,8,-77.33333333,Kuna,Chibchan,Phonology
knm,Kunama,3,Average,14.5,37,Kunama,Kunama,Phonology
kmp,Kunimaipa,3,Average,-8,146.8333333,Goilalan,Trans-New Guinea,Phonology
krd,Kurdish (Central),3,Average,36,44,Iranian,Indo-European,Phonology
kur,Kurukh,3,Average,22.83333333,85.5,Northern Dravidian,Dravidian,Phonology
kut,Kutenai,5,High,49.5,-116,Kutenai,Kutenai,Phonology
kwa,Kwaio,3,Average,-8.95,161,Oceanic,Austronesian,Phonology
kwk,Kwakw'ala,5,High,51,-127,Northern Wakashan,Wakashan,Phonology
kwo,Kwoma,3,Average,-4.166666667,142.75,Nukuma,Sepik,Phonology
