wals_code,Name,latitude,longitude,family,macroarea,countrycodes,values,description
kzh,Kam (Zhanglu),26,108.5,Tai-Kadai,Eurasia,CN,3,Complex tone system
kzy,Komi-Zyrian,65,55,Uralic,Eurasia,RU,1,No tones
lad,Ladakhi,34,78,Sino-Tibetan,Eurasia,IN,1,No tones
lah,Lahu,20,98.16666667,Sino-Tibetan,Eurasia,CN TH MM,3,Complex tone system
lak,Lak,42.16666667,47.16666667,Nakh-Daghestanian,Eurasia,RU,1,No tones
lam,Lamé,9,14.5,Afro-Asiatic,Africa,TD CM,3,Complex tone system
lan,Lango,2.166666667,33,Eastern Sudanic,Africa,UG,2,Simple tone system
lat,Latvian,57,24,Indo-European,Eurasia,LV,2,Simple tone system
lav,Lavukaleve,-9.083333333,159.2,Solomons East Papuan,Papunesia,SB,1,No tones
len,Lenakel,-19.45,169.25,Austronesian,Papunesia,VU,1,No tones
lez,Lezgian,41.66666667,47.83333333,Nakh-Daghestanian,Eurasia,AZ RU,1,No tones
lkk,Lakkia,24.08333333,110.1666667,Tai-Kadai,Eurasia,CN,3,Complex tone system
lkt,Lakhota,43.83333333,-101.8333333,Siouan,North America,US,1,No tones
llm,Lelemi,7.333333333,0.5,Niger-Congo,Africa,GH,2,Simple tone system
lu,Lü,22,100.6666667,Tai-Kadai,Eurasia,CN LA MM,3,Complex tone system
lua,Lua,9.75,17.75,Niger-Congo,Africa,TD,3,Complex tone system
lug,Lugbara,3.083333333,30.91666667,Central Sudanic,Africa,CD UG,3,Complex tone system
lui,Luiseño,33.33333333,-117.1666667,Uto-Aztecan,North America,US,1,No tones
luo,Luo,-0.5,34.75,Eastern Sudanic,Africa,TZ KE,2,Simple tone system
lus,Lushootseed,48,-122,Salishan,North America,US,1,No tones
luv,Luvale,-12,22,Niger-Congo,Africa,AO,2,Simple tone system
maa,Maasai,-3,36,Eastern Sudanic,Africa,KE TZ,2,Simple tone system
mab,Maba,13.75,20.83333333,Maban,Africa,TD,2,Simple tone system
mak,Makah,48.33333333,-124.6666667,Wakashan,North America,US,1,No tones
mal,Malagasy,-20,47,Austronesian,Africa,MG,1,No tones
mao,Maori,-40,176,Austronesian,Papunesia,NZ,1,No tones
map,Mapudungun,-38,-72,Araucanian,South America,CL,1,No tones
mar,Maricopa,33.16666667,-113.1666667,Hokan,North America,US,1,No tones
mau,Maung,-11.91666667,133.5,Iwaidjan,Australia,AU,1,No tones
max,Maxakalí,-18,-40,Macro-Ge,South America,BR,1,No tones
may,Maybrat,-1.333333333,132.5,West Papuan,Papunesia,ID,1,No tones
maz,Mazahua,19.41666667,-99.91666667,Oto-Manguean,North America,MX,2,Simple tone system
mba,Mba,1,25,Niger-Congo,Africa,CD,3,Complex tone system
mbb,Mbabaram,-17.16666667,145,Pama-Nyungan,Australia,AU,1,No tones
mbm,Mbum,7.75,13.16666667,Niger-Congo,Africa,CF CM TD,2,Simple tone system
mei,Meithei,24.75,94,Sino-Tibetan,Eurasia,IN,2,Simple tone system
mgg,Mangghuer,36,102,Altaic,Eurasia,CN,1,No tones
mie,Mien,25,111,Hmong-Mien,Eurasia,CN,3,Complex tone system
mku,Maranungku,-13.66666667,130,Western Daly,Australia,AU,1,No tones
mla,Mambila,6.75,11.5,Niger-Congo,Africa,CM NG,3,Complex tone system
mlk,Malakmalak,-13.41666667,130.4166667,Northern Daly,Australia,AU,1,No tones
mnd,Mandarin,34,110,Sino-Tibetan,Eurasia,CN,3,Complex tone system
mne,Maidu (Northeast),40,-120.6666667,Penutian,North America,US,1,No tones
mog,Moghol,35,62,Altaic,Eurasia,AF,1,No tones
mor,Mor,-2.95,135.75,Austronesian,Papunesia,ID,2,Simple tone system
mov,Movima,-13.83333333,-65.66666667,Movima,South America,BO,1,No tones
mpa,Murrinh-Patha,-14.66666667,129.6666667,Southern Daly,Australia,AU,1,No tones
mrd,Marind,-7.833333333,140.1666667,Marind,Papunesia,ID,1,No tones
mrg,Margi,11,13,Afro-Asiatic,Africa,NG,2,Simple tone system
mrl,Murle,6.5,33.5,Eastern Sudanic,Africa,SS,2,Simple tone system
mrn,Maranao,7.833333333,124.25,Austronesian,Papunesia,PH,1,No tones
mro,Moro,11,30.16666667,Kordofanian,Africa,SD,2,Simple tone system
mrt,Martuthunira,-20.83333333,116.5,Pama-Nyungan,Australia,AU,1,No tones
mss,Miwok (Southern Sierra),37.5,-120,Penutian,North America,US,1,No tones
mtp,Mixe (Totontepec),17.25,-96,Mixe-Zoque,North America,MX,1,No tones
mui,Muinane,-1,-72.5,Huitotoan,South America,CO,2,Simple tone system
mum,Mumuye,9,11.66666667,Niger-Congo,Africa,NG,3,Complex tone system
mun,Mundari,23,84.66666667,Austro-Asiatic,Eurasia,IN,1,No tones
mxc,Mixtec (Chalcatongo),17.05,-97.58333333,Oto-Manguean,North America,MX,3,Complex tone system
mxm,Mixtec (Molinos),17,-97.58333333,Oto-Manguean,North America,MX,3,Complex tone system
mya,Ma'ya,-1.25,130.9166667,Austronesian,Papunesia,ID,3,Complex tone system
myi,Mangarrayi,-14.66666667,133.5,Mangarrayi-Maran,Australia,AU,1,No tones
mzc,Mazatec (Chiquihuitlán),17.75,-96.91666667,Oto-Manguean,North America,MX,3,Complex tone system
nai,Nanai,49.5,137,Altaic,Eurasia,RU,1,No tones
nan,Nandi,0.25,35,Eastern Sudanic,Africa,KE,2,Simple tone system
nap,Neo-Aramaic (Persian Azerbaijan),38,47,Afro-Asiatic,Eurasia,IR IL,1,No tones
nar,Nara (in Ethiopia),15.08333333,37.58333333,Eastern Sudanic,Africa,ER,2,Simple tone system
nav,Navajo,36.16666667,-108,Na-Dene,North America,US,2,Simple tone system
nax,Naxi,27.5,100,Sino-Tibetan,Eurasia,CN,3,Complex tone system
ndt,Ndut,14.91666667,-16.91666667,Niger-Congo,Africa,SN,3,Complex tone system
ndy,Ndyuka,4.5,-54.5,other,South America,GF SR,2,Simple tone system
nen,Nenets,69,72,Uralic,Eurasia,RU,1,No tones
nep,Nepali,28,85,Indo-European,Eurasia,NP,1,No tones
new,Newari (Kathmandu),27.66666667,85.5,Sino-Tibetan,Eurasia,NP,1,No tones
nez,Nez Perce,46,-116,Penutian,North America,US,1,No tones
nga,Nganasan,71,93,Uralic,Eurasia,RU,1,No tones
ngi,Ngiyambaa,-31.75,145.5,Pama-Nyungan,Australia,AU,1,No tones
ngz,Ngizim,12.08333333,10.91666667,Afro-Asiatic,Africa,NG,2,Simple tone system
nhn,Nahuatl (North Puebla),20,-98.25,Uto-Aztecan,North America,MX,1,No tones
nht,Nahuatl (Tetelcingo),19.66666667,-99,Uto-Aztecan,North America,MX,1,No tones
nis,Nyishi,27.5,93.5,Sino-Tibetan,Eurasia,IN,2,Simple tone system
niv,Nivkh,53.33333333,142,Nivkh,Eurasia,RU,2,Simple tone system
nko,Nkore-Kiga,-0.916666667,29.83333333,Niger-Congo,Africa,UG,2,Simple tone system
nkt,Nyah Kur (Tha Pong),15.66666667,101.6666667,Austro-Asiatic,Eurasia,TH,2,Simple tone system
nmb,Nambikuára (Southern),-14,-59.5,Nambikuaran,South America,BR,3,Complex tone system
nnc,Nancowry,8.05,93.5,Austro-Asiatic,Eurasia,IN,1,No tones
nob,Nobiin,21,31,Eastern Sudanic,Africa,EG SD,2,Simple tone system
non,Noni,6.416666667,10.58333333,Niger-Congo,Africa,CM,3,Complex tone system
nor,Norwegian,61,8,Indo-European,Eurasia,NO,2,Simple tone system
nti,Ngiti,1.333333333,30.25,Central Sudanic,Africa,CD,3,Complex tone system
nug,Nunggubuyu,-13.75,135.6666667,Gunwinyguan,Australia,AU,1,No tones
nun,Nung (in Vietnam),21.91666667,106.4166667,Tai-Kadai,Eurasia,VN,3,Complex tone system
nuu,Nuuchahnulth,49.66666667,-126.6666667,Wakashan,North America,CA,1,No tones
nyg,Nyangi,3.416666667,33.58333333,Eastern Sudanic,Africa,UG,2,Simple tone system
nyi,Nyimang,12.16666667,29.33333333,Eastern Sudanic,Africa,SD,3,Complex tone system
oca,Ocaina,-2.75,-71.75,Huitotoan,South America,PE,2,Simple tone system
ogb,Ogbia,4.666666667,6.25,Niger-Congo,Africa,NG,2,Simple tone system
oji,Ojibwa (Eastern),46,-80,Algic,North America,CA,1,No tones
ond,Oneida,43,-75.66666667,Iroquoian,North America,US,2,Simple tone system
ood,O'odham,32,-112,Uto-Aztecan,North America,MX US,1,No tones
orh,Oromo (Harar),9,42,Afro-Asiatic,Africa,ET,3,Complex tone system
orm,Ormuri,32.5,69.75,Indo-European,Eurasia,PK,1,No tones
otm,Otomí (Mezquital),20.16666667,-99.16666667,Oto-Manguean,North America,MX,2,Simple tone system
pac,Pacoh,16.41666667,107.0833333,Austro-Asiatic,Eurasia,VN,1,No tones
pae,Páez,2.666666667,-76,Páezan,South America,CO,1,No tones
pai,Paiwan,22.5,120.8333333,Austronesian,Papunesia,TW,1,No tones
pau,Paumarí,-6,-64,Arauan,South America,BR,1,No tones
paw,Pawaian,-7,145.0833333,Teberan-Pawaian,Papunesia,PG,2,Simple tone system
pec,Pech,15,-85.5,Chibchan,North America,HN,2,Simple tone system
phl,Phlong,15,99,Sino-Tibetan,Eurasia,TH,3,Complex tone system
pit,Pitjantjatjara,-26,130,Pama-Nyungan,Australia,AU,1,No tones
pms,Paamese,-16.5,168.25,Austronesian,Papunesia,VU,1,No tones
pnr,Panare,6.5,-66,Cariban,South America,VR,1,No tones
poa,Po-Ai,-20.66666667,164.8333333,Austronesian,Papunesia,NC,3,Complex tone system
poh,Pohnpeian,6.883333333,158.25,Austronesian,Papunesia,FM,1,No tones
pol,Polish,52,20,Indo-European,Eurasia,PL,1,No tones
prh,Pirahã,-7,-62,Mura,South America,BR,2,Simple tone system
prs,Persian,32,54,Indo-European,Eurasia,IR,1,No tones
psh,Pashto,33,67,Indo-European,Eurasia,AF PK,1,No tones
psm,Passamaquoddy-Maliseet,45,-67,Algic,North America,US CA,2,Simple tone system
puk,Parauk,23.25,99.5,Austro-Asiatic,Eurasia,MM CN,1,No tones
pur,Purépecha,19.5,-101.6666667,Tarascan,North America,MX,1,No tones
qaw,Qawasqar,-49,-75,Alacalufan,South America,CL,1,No tones
qco,Quechua (Cochabamba),-17.5,-66,Quechuan,South America,BO,1,No tones
qui,Quileute,47.91666667,-124.25,Chimakuan,North America,US,2,Simple tone system
ram,Rama,11.75,-83.75,Chibchan,North America,NI,1,No tones
rap,Rapanui,-27.11666667,-109.3666667,Austronesian,Papunesia,CL,1,No tones
res,Resígaro,-2.416666667,-71.5,Arawakan,South America,PE CO,2,Simple tone system
rom,Romanian,46,25,Indo-European,Eurasia,RO,1,No tones
ror,Roro,-8.75,146.5833333,Austronesian,Papunesia,PG,1,No tones
rsc,Romansch (Scharans),46.75,9.5,Indo-European,Eurasia,CH,1,No tones
rtk,Rotokas,-6,155.1666667,West Bougainville,Papunesia,PG,1,No tones
ruk,Rukai (Tanan),22.83333333,120.8333333,Austronesian,Papunesia,TW,1,No tones
rus,Russian,56,38,Indo-European,Eurasia,RU,1,No tones
rut,Rutul,41.5,47.41666667,Nakh-Daghestanian,Eurasia,RU AZ,2,Simple tone system
san,Sango,5,18,Niger-Congo,Africa,CF,2,Simple tone system
sba,Sáliba (in Colombia),6,-70,Sáliban,South America,VR CO,1,No tones
scs,Saami (Central-South),64.66666667,16.75,Uralic,Eurasia,SE,1,No tones
sdh,Sindhi,26,69,Indo-European,Eurasia,PK IN,1,No tones
sdw,Sandawe,-5,35,Sandawe,Africa,TZ,2,Simple tone system
sed,Sedang,14.83333333,108,Austro-Asiatic,Eurasia,VN,1,No tones
sel,Selknam,-53,-70,Chon,South America,AR,1,No tones
sha,Shan,22,98,Tai-Kadai,Eurasia,MM,3,Complex tone system
shi,Shiriana,3.5,-62.83333333,Yanomam,South America,VR BR,1,No tones
shk,Shipibo-Konibo,-7.5,-75,Panoan,South America,PE,1,No tones
shs,Shasta,41.83333333,-122.6666667,Hokan,North America,US,2,Simple tone system
shu,Shuswap,52,-120,Salishan,North America,CA,1,No tones
sla,Slave,67,-125,Na-Dene,North America,CA,2,Simple tone system
sml,Semelai,3,103,Austro-Asiatic,Eurasia,MY,1,No tones
snc,Seneca,42.5,-77.5,Iroquoian,North America,US,1,No tones
snd,Senadi,9.5,-6.25,Niger-Congo,Africa,CI,3,Complex tone system
snh,Sinhala,7,80.5,Indo-European,Eurasia,LK,1,No tones
snm,Sanuma,4.5,-64.66666667,Yanomam,South America,BR VR,1,No tones
som,Somali,3,45,Afro-Asiatic,Africa,SO,2,Simple tone system
soq,Soqotri,12.5,54,Afro-Asiatic,Africa,YE,1,No tones
sor,Sora,20,84.33333333,Austro-Asiatic,Eurasia,IN,1,No tones
spa,Spanish,40,-4,Indo-European,Eurasia,ES,1,No tones
squ,Squamish,49.66666667,-123.1666667,Salishan,North America,CA,1,No tones
sre,Sre,11.5,108,Austro-Asiatic,Eurasia,VN,2,Simple tone system
srn,Sirionó,-15.58333333,-64,Tupian,South America,BO,1,No tones
sue,Suena,-7.75,147.55,Trans-New Guinea,Papunesia,PG,2,Simple tone system
sui,Sui,26,107.5,Tai-Kadai,Eurasia,CN,3,Complex tone system
sup,Supyire,11.5,-5.583333333,Niger-Congo,Africa,ML,3,Complex tone system
svs,Savosavo,-9.133333333,159.8,Solomons East Papuan,Papunesia,SB,1,No tones
swa,Swahili,-6.5,39,Niger-Congo,Africa,TZ,1,No tones
tab,Taba,0,127.5,Austronesian,Papunesia,ID,1,No tones
tac,Tacana,-13.5,-68,Tacanan,South America,BO,1,No tones
tag,Tagalog,15,121,Austronesian,Papunesia,PH,1,No tones
tam,Tamang (Eastern),27.5,85.66666667,Sino-Tibetan,Eurasia,NP,2,Simple tone system
tas,Tashlhiyt,31,-5,Afro-Asiatic,Africa,MA,1,No tones
teh,Tehuelche,-48,-68,Chon,South America,AR,1,No tones
tel,Telugu,16,79,Dravidian,Eurasia,IN,1,No tones
ter,Tera,11,11.83333333,Afro-Asiatic,Africa,NG,3,Complex tone system
tgk,Tigak,-2.716666667,150.8,Austronesian,Papunesia,PG,1,No tones
tgr,Tigré,16.5,38.5,Afro-Asiatic,Africa,ER,1,No tones
tha,Thai,16,101,Tai-Kadai,Eurasia,TH,3,Complex tone system
tib,Tibetan (Standard Spoken),30,91,Sino-Tibetan,Eurasia,CN,2,Simple tone system
tic,Ticuna,-4,-70.5,Ticuna,South America,BR PE,3,Complex tone system
tiw,Tiwi,-11.5,131,Tiwian,Australia,AU,1,No tones
tks,Teke (Southern),-2.333333333,14.5,Niger-Congo,Africa,CG,2,Simple tone system
tli,Tlingit,59,-135,Na-Dene,North America,US,2,Simple tone system
tlp,Tlapanec,17.08333333,-99,Oto-Manguean,North America,MX,3,Complex tone system
tma,Tama,14.5,22,Eastern Sudanic,Africa,SD TD,3,Complex tone system
tmn,Temein,11.91666667,29.41666667,Eastern Sudanic,Africa,SD,2,Simple tone system
tmp,Tampulma,10.41666667,-0.583333333,Niger-Congo,Africa,GH,2,Simple tone system
tne,Temne,8.666666667,-13.08333333,Niger-Congo,Africa,SL,2,Simple tone system
toa,Toaripi,-8.333333333,146.25,Eleman,Papunesia,PG,1,No tones
tok,Tarok,9,10.08333333,Niger-Congo,Africa,NG,3,Complex tone system
tol,Tol,14.66666667,-87,Tol,North America,HN,1,No tones
ton,Tonkawa,30.25,-96.75,Tonkawa,North America,US,1,No tones
tpa,Totonac (Papantla),20.33333333,-97.33333333,Totonacan,North America,MX,1,No tones
tru,Trumai,-11.91666667,-53.58333333,Trumai,South America,BR,1,No tones
try,Tiruray,6.75,124.1666667,Austronesian,Papunesia,PH,1,No tones
tsg,Tausug,6,121,Austronesian,Papunesia,PH MY ID,1,No tones
tsi,Tsimshian (Coast),52.5,-129,Penutian,North America,US CA,1,No tones
tso,Tsou,23.5,120.75,Austronesian,Papunesia,TW,1,No tones
ttn,Tetun,-9,126,Austronesian,Papunesia,TL,1,No tones
ttu,Tsova-Tush,42.5,45.5,Nakh-Daghestanian,Eurasia,GE,1,No tones
tug,Tuareg (Ahaggar),23,6,Afro-Asiatic,Africa,LY DZ NE,1,No tones
tuk,Tukang Besi,-5.5,123.5,Austronesian,Papunesia,ID,1,No tones
tul,Tulu,12.75,75.33333333,Dravidian,Eurasia,IN,1,No tones
tur,Turkish,39,35,Altaic,Eurasia,TR,1,No tones
tuv,Tuvan,52,95,Altaic,Eurasia,MN RU,1,No tones
twn,Tiwa (Northern),36.5,-105.5,Kiowa-Tanoan,North America,US,2,Simple tone system
tza,Tzeltal (Aguacatenango),16.41666667,-92.5,Mayan,North America,MX,1,No tones
umb,UMbundu,-12.5,15,Niger-Congo,Africa,AO,2,Simple tone system
una,Una,-4.666666667,140,Trans-New Guinea,Papunesia,ID,2,Simple tone system
ung,Ungarinjin,-16.33333333,126,Worrorran,Australia,AU,1,No tones
urk,Urubú-Kaapor,-2.333333333,-46.5,Tupian,South America,BR,1,No tones
usa,Usan,-4.833333333,145.1666667,Trans-New Guinea,Papunesia,PG,1,No tones
uzn,Uzbek (Northern),40.66666667,66.5,Altaic,Eurasia,UZ,1,No tones
vie,Vietnamese,10.5,106.5,Austro-Asiatic,Eurasia,VN,3,Complex tone system
wah,Wahgi,-5.833333333,144.7166667,Trans-New Guinea,Papunesia,PG,2,Simple tone system
wam,Wambaya,-18.66666667,135.75,Mirndi,Australia,AU,1,No tones
wao,Waorani,-1,-76.5,Waorani,South America,EC,1,No tones
wap,Wappo,38.5,-122.5,Wappo-Yukian,North America,US,1,No tones
war,Wari',-11.33333333,-65,Chapacura-Wanham,South America,BR,1,No tones
wch,Wichí,-22.5,-62.58333333,Matacoan,South America,AR BO,1,No tones
wdo,Western Desert (Ooldea),-30.5,132,Pama-Nyungan,,AU,1,No tones
wic,Wichita,33.33333333,-97.33333333,Caddoan,North America,US,1,No tones
win,Wintu,41,-122.5,Penutian,North America,US,1,No tones
wiy,Wiyot,40.83333333,-124.1666667,Algic,North America,US,1,No tones
wlf,Wolof,15.25,-16,Niger-Congo,Africa,SN GM,1,No tones
wma,West Makian,0.5,127.5833333,West Papuan,Papunesia,ID,1,No tones
wmu,Wik Munkan,-13.91666667,141.75,Pama-Nyungan,Australia,AU,1,No tones
wnt,Wantoat,-6.166666667,146.5,Trans-New Guinea,Papunesia,PG,1,No tones
woi,Woisika,-8.25,124.8333333,Timor-Alor-Pantar,Papunesia,ID,1,No tones
wps,Wapishana,2.666666667,-60,Arawakan,South America,BR GY,1,No tones
wra,Warao,9.333333333,-61.66666667,Warao,South America,VR,1,No tones
wrd,Wardaman,-15.5,131,Yangmanic,Australia,AU,1,No tones
wry,Waray (in Australia),-13.16666667,131.25,Gunwinyguan,Australia,AU,1,No tones
wuc,Wu,31.66666667,119.9166667,Sino-Tibetan,Eurasia,CN,3,Complex tone system
xia,Xiamen,24.5,118.1666667,Sino-Tibetan,Eurasia,CN,3,Complex tone system
xoo,!Xóõ,-24,21.5,Tu,Africa,BW,3,Complex tone system
yag,Yagua,-3.5,-72,Peba-Yaguan,South America,PE,2,Simple tone system
yan,Yana,40.5,-122,Hokan,North America,US,1,No tones
yap,Yapese,9.583333333,138.1666667,Austronesian,Papunesia,FM,1,No tones
yaq,Yaqui,27.5,-110.25,Uto-Aztecan,North America,MX,2,Simple tone system
yar,Yareba,-9.5,148.5,Yareban,Papunesia,PG,1,No tones
yaw,Yawa,-1.75,136.25,Yawa,Papunesia,ID,1,No tones
yay,Yay,22.41666667,104.75,Tai-Kadai,Eurasia,VN,3,Complex tone system
ycn,Yucuna,-0.75,-71,Arawakan,South America,CO,1,No tones
yct,Yucatec,20,-89,Mayan,North America,MX,2,Simple tone system
yel,Yelî Dnye,-11.36666667,154.1666667,Yele,Papunesia,PG,1,No tones
yes,Yessan-Mayo,-4.166666667,142.5833333,Sepik,Papunesia,PG,1,No tones
yey,Yeyi,-20,23.5,Niger-Congo,Africa,BW NA,2,Simple tone system
ygr,Yagaria,-6.333333333,145.4166667,Trans-New Guinea,Papunesia,PG,2,Simple tone system
yid,Yidiny,-17,145.75,Pama-Nyungan,Australia,AU,1,No tones
yim,Yimas,-4.666666667,143.55,Lower Sepik-Ramu,Papunesia,PG,1,No tones
yko,Yukaghir (Kolyma),65.75,150.8333333,Yukaghir,Eurasia,RU,1,No tones
ykt,Yakut,62,130,Altaic,Eurasia,RU,1,No tones
yny,Yanyuwa,-16.41666667,137.1666667,Pama-Nyungan,Australia,AU,1,No tones
yor,Yoruba,8,4.333333333,Niger-Congo,Africa,NG BJ,3,Complex tone system
ytu,Yukaghir (Tundra),69,155,Yukaghir,Eurasia,RU,1,No tones
yuc,Yuchi,35.75,-86.75,Yuchi,North America,US,1,No tones
yul,Yulu,8.5,25.25,Central Sudanic,Africa,SS,3,Complex tone system
yur,Yurok,41.33333333,-124,Algic,North America,US,1,No tones
yus,Yupik (Siberian),65,-173,Eskimo-Aleut,Eurasia,RU,1,No tones
zan,Zande,4,26,Niger-Congo,Africa,SS CD CF,2,Simple tone system
zqc,Zoque (Copainalá),17,-93.25,Mixe-Zoque,North America,MX,1,No tones
zul,Zulu,-30,30,Niger-Congo,Africa,ZA,2,Simple tone system
zun,Zuni,35.08333333,-108.8333333,Zuni,North America,US,1,No tones